ITEM_SID,STYLE_SID,SET,ATTR,Band,Color,Cup,Special
1.77762358473269e+18,1.77762358337289e+18,,,,,,
1.77762358479214e+18,1.77762358337289e+18,,,,,,
1.77762358722934e+18,1.77762358337289e+18,,,,,,
1.77762358337289e+18,1.77762358337289e+18,,,,,,
1.77762358322693e+18,1.77762358382907e+18,,,,,,
1.77762358358658e+18,1.77762358382907e+18,,,,,,
1.77762358370699e+18,1.77762358382907e+18,,,,,,
1.77762358611062e+18,1.77762358382907e+18,,,,,,
1.77762358382907e+18,1.77762358382907e+18,,,,,,
1.77762358739575e+18,1.77762358749943e+18,BandCupColor,Cup:F|Band:28|Color:BLACK,28,BLACK,F,
1.77762358844186e+18,1.77762358749943e+18,BandCupColor,Cup:G|Band:28|Color:BLACK,28,BLACK,G,
1.77762358883939e+18,1.77762358749943e+18,BandCupColor,Cup:G|Band:30|Color:BLACK,30,BLACK,G,
1.77762358915253e+18,1.77762358749943e+18,BandCupColor,Cup:DD|Band:28|Color:BLACK,28,BLACK,DD,
1.77762358932965e+18,1.77762358749943e+18,BandCupColor,Cup:D|Band:28|Color:BLACK,28,BLACK,D,
1.77762359050346e+18,1.77762358749943e+18,BandCupColor,Cup:E|Band:28|Color:BLACK,28,BLACK,E,
1.77762359061956e+18,1.77762358749943e+18,BandCupColor,Cup:FF|Band:28|Color:BLACK,28,BLACK,FF,
1.77762359172033e+18,1.77762358749943e+18,BandCupColor,Cup:FF|Band:30|Color:BLACK|Special:True,30,BLACK,FF,True
1.77762359182892e+18,1.77762358749943e+18,BandCupColor,Cup:DD|Band:32|Color:BLACK,32,BLACK,DD,
1.77762359209117e+18,1.77762358749943e+18,BandCupColor,Cup:E|Band:32|Color:BLACK,32,BLACK,E,
1.77762359214492e+18,1.77762358749943e+18,BandCupColor,Cup:D|Band:32|Color:BLACK,32,BLACK,D,
1.77762359254404e+18,1.77762358749943e+18,BandCupColor,Cup:G|Band:34|Color:BLACK,34,BLACK,G,
1.7776235929265e+18,1.77762358749943e+18,BandCupColor,Cup:G|Band:32|Color:BLACK,32,BLACK,G,
1.77762359305116e+18,1.77762358749943e+18,BandCupColor,Cup:F|Band:34|Color:BLACK,34,BLACK,F,
1.77762359310868e+18,1.77762358749943e+18,BandCupColor,Cup:FF|Band:32|Color:BLACK,32,BLACK,FF,
1.77762359336845e+18,1.77762358749943e+18,BandCupColor,Cup:FF|Band:34|Color:BLACK,34,BLACK,FF,
1.77762359344583e+18,1.77762358749943e+18,BandCupColor,Cup:F|Band:32|Color:BLACK,32,BLACK,F,
1.77762359414002e+18,1.77762358749943e+18,BandCupColor,Cup:DD|Band:30|Color:BLACK,30,BLACK,DD,
1.77762359506652e+18,1.77762358749943e+18,BandCupColor,Cup:D|Band:30|Color:BLACK,30,BLACK,D,
1.77762359541864e+18,1.77762358749943e+18,BandCupColor,Cup:E|Band:30|Color:BLACK,30,BLACK,E,
