ITEM_SID,STYLE_SID,SET,ATTR,IsConfigurable,type,manage_stock,COST,SRP,PRICE,QTY,SHIP_WEIGHT,SHORT_DESCRIPTION,LONG_DESCRIPTION,PRODUCT_NAME,PRODUCT_MFG,SHOW_ITEM,Category,WebSku,DropShip,meta_title,meta_description,meta_keywords,image,small_image,thumbnail,media_gallery,image_label,small_image_label,thumbnail_label,tags,status,attribute:Color Tag:Color Tag:text:1:0,attribute:Scale Name:Scale Name:text:1:0,attribute:SKU:SKU:text:1:0,CustomOption1:field:1:1,CustomOption2:field:1:2,CustomOption3:field:0:3,CustomOption4:field:0:4,:drop_down:1:5,:drop_down:1:6,:drop_down:1:7,:drop_down:1:8
1.77762358473269E+018,1.77762358337289E+018,,,0,simple,1,21.6,50,50,0,,,,Freya Fancies Chemise AA1018,Eveden,1,Sleepwear>Sleepwear;;Sleepwear>Gowns,AA1018,0,,,,,,,,,,,,1,BLACK/GREY,,194327,,,,,,,,
1.77762358479214E+018,1.77762358337289E+018,,,0,simple,1,21.6,50,50,1,,,,Freya Fancies Chemise AA1018,Eveden,1,Sleepwear>Sleepwear;;Sleepwear>Gowns,AA1018,0,,,,,,,,,,,,1,BLACK/GREY,,194328,,,,,,,,
1.77762358722934E+018,1.77762358337289E+018,,,0,simple,1,21.6,50,50,0,,,,Freya Fancies Chemise AA1018,Eveden,1,Sleepwear>Sleepwear;;Sleepwear>Gowns,AA1018,0,,,,,,,,,,,,1,BLACK/GREY,,194329,,,,,,,,
1.77762358337289E+018,1.77762358337289E+018,,,1,configurable,1,,,,,,,,Freya Fancies Chemise AA1018,Eveden,1,Sleepwear>Sleepwear;;Sleepwear>Gowns,AA1018,0,,,,,,,,,,,,1,BLACK/GREY,,194329,,,,,,,,
1.77762358322693E+018,1.77762358382907E+018,,,0,simple,1,17.1,38,38,2,,,,Freya Fancies Bralette AA1010,Eveden,1,Bras>Bralettes;;Bras>Comfort Bra;;Bras>Sleep Bras,AA1010,0,,,,,,,,,,,,1,BLACK/GREY,,194315,,,,,,,,
1.77762358358658E+018,1.77762358382907E+018,,,0,simple,1,17.1,38,38,1,,,,Freya Fancies Bralette AA1010,Eveden,1,Bras>Bralettes;;Bras>Comfort Bra;;Bras>Sleep Bras,AA1010,0,,,,,,,,,,,,1,BLACK/GREY,,194314,,,,,,,,
1.77762358370699E+018,1.77762358382907E+018,,,0,simple,1,17.1,38,38,1,,,,Freya Fancies Bralette AA1010,Eveden,1,Bras>Bralettes;;Bras>Comfort Bra;;Bras>Sleep Bras,AA1010,0,,,,,,,,,,,,1,BLACK/GREY,,194317,,,,,,,,
1.77762358611062E+018,1.77762358382907E+018,,,0,simple,1,17.1,38,38,1,,,,Freya Fancies Bralette AA1010,Eveden,1,Bras>Bralettes;;Bras>Comfort Bra;;Bras>Sleep Bras,AA1010,0,,,,,,,,,,,,1,BLACK/GREY,,194316,,,,,,,,
1.77762358382907E+018,1.77762358382907E+018,,,1,configurable,1,,,,,,,,Freya Fancies Bralette AA1010,Eveden,1,Bras>Bralettes;;Bras>Comfort Bra;;Bras>Sleep Bras,AA1010,0,,,,,,,,,,,,1,BLACK/GREY,,194316,,,,,,,,
1.77762358739575E+018,1.77762358749943E+018,BandCupColor,Cup:F|Band:28|Color:BLACK,0,simple,1,30.6,70,70,2,,,,Freya Idol Contour Balconnet AA1050,Eveden,1,Bras>Contour;;Bras>T-Shirt,AA1050,0,,,,,,,,,,,,1,BEIGE;;BLACK/GREY,,159740,,,,,,,,
